"سؤال","جواب","تنقيط"
"من هو أول ملك للمغرب بعد الاستقلال؟","السلطان محمد الخامس كان قائدًا حكيمًا ورؤيويًا للمغرب الحديث","2"
"من هو أول ملك للمغرب بعد الاستقلال؟","محمد الخامس كان رمزًا للمقاومة والاستقلال في تاريخ المغرب","2"
"من هو أول ملك للمغرب بعد الاستقلال؟","تحت حكم محمد الخامس، شهد المغرب تحولًا هامًا نحو الوحدة والتطور الوطني","2"
"من هو أول ملك للمغرب بعد الاستقلال؟","محمد الخامس أدى دورًا حاسمًا في استعادة هوية المغرب وتأسيس السلطة الملكية","2"
"من هو أول ملك للمغرب بعد الاستقلال؟","السلطان محمد الخامس كان رمزًا للكرامة والاستقلال في قلوب الشعب المغربي","2"
"من هو أول ملك للمغرب بعد الاستقلال؟","محمد الخامس قاد النضال من أجل الحرية والاستقلال وتحقيق آمال الشعب المغربي","2"
"من هو أول ملك للمغرب بعد الاستقلال؟","محمد الخامس يُعتبر رمزًا للوحدة الوطنية والمقاومة والقيادة الحكيمة في تاريخ المغرب","3"
"من هو أول ملك للمغرب بعد الاستقلال؟","محمد الخامس هو السلطان السابع عشر للأسرة العلوية وأول ملك للمغرب بعد الاستقلال","3"
"من هو أول ملك للمغرب بعد الاستقلال؟","محمد الخامس، السلطان السابع عشر لسلالة العلويين، تولى الحكم كملك للمغرب بعد الاستقلال","3"
"من هو أول ملك للمغرب بعد الاستقلال؟","محمد الخامس هو أول ملك للمغرب بعد تحقيق الاستقلال ","1"
"من هو أول ملك للمغرب بعد الاستقلال؟","تم تتويج محمد الخامس كملك للمغرب في 18 نوفمبر 1955 بعد عودته من المنفى","3"
"من هو أول ملك للمغرب بعد الاستقلال؟","كانت فترة حكم محمد الخامس مفصلية في تاريخ المغرب، حيث شهدت تحولات سياسية واقتصادية هامة","3"
"من هو أول ملك للمغرب بعد الاستقلال؟","قاد محمد الخامس حركة الاستقلال المغربية ضد الاحتلال الأجنبي، وسعى لتحقيق الوحدة الوطنية وتحرير البلاد","3"
"من هو أول ملك للمغرب بعد الاستقلال؟","كان محمد الخامس رمزًا للصمود والتضحية، حيث عاش في المنفى وتحمل العديد من التحديات في سبيل الحرية والاستقلال","3"
"من هو أول ملك للمغرب بعد الاستقلال؟","بناءً على دعمه القوي وشعبيته الواسعة، نجح محمد الخامس في توحيد الشعب المغربي وتحقيق الاستقرار الداخلي","3"
"من هو أول ملك للمغرب بعد الاستقلال؟","محمد الخامس، الملقب بالسلطان الحكيم، كان الزعيم الذي قاد المغرب بعد استعادة استقلاله من الاستعمار الفرنسي والإسباني في عام 1956","3"
"من هو أول ملك للمغرب بعد الاستقلال؟","بعد استقلال المغرب عن الاستعمار الفرنسي في عام 1956، تولى العرش محمد الخامس، الذي كان آخر سلطان للمغرب قبل الاستقلال. توفي الخامس في عام 1961 وخلفه ابنه الحسن الثاني. فيما يلي قائمة تفصيلية لأول 20 ملك للمغرب بعد الاستقلال:","3"
"من هو أول ملك للمغرب بعد الاستقلال؟","بعد الاستقلال، تولى العرش في المغرب الملك محمد الخامس، الذي كان سلطانًا قبل الاستقلال","3"
"من هو أول ملك للمغرب بعد الاستقلال؟","عقب الاستقلال، قام الملك محمد الخامس بتولي الحكم في المغرب كملك أول بعد الاستقلال","3"
"من هو أول ملك للمغرب بعد الاستقلال؟","استلم العرش في المغرب بعد الاستقلال الملك محمد الخامس الذي كان يشغل منصب السلطان قبل ذلك","3"
"من هو أول ملك للمغرب بعد الاستقلال؟","بعد الانتصار على الاستعمار الفرنسي، تسلم الملك محمد الخامس العرش في المغرب","2"
"من هو أول ملك للمغرب بعد الاستقلال؟","تولى محمد الخامس مقاليد الحكم في المغرب بعد حقبة الاستعمار ","1"
"من هو أول ملك للمغرب بعد الاستقلال؟","بعد تحقيق الاستقلال، تم تعيين محمد الخامس كملك للمغرب","1"
"من هو أول ملك للمغرب بعد الاستقلال؟","حصل الملك محمد الخامس على العرش بعد نيل المغرب لاستقلاله من فرنسا","2"
"من هو أول ملك للمغرب بعد الاستقلال؟","في أعقاب الاستقلال، أصبح محمد الخامس أول ملك للمغرب بعد الحكم الاستعماري","2"
"من هو أول ملك للمغرب بعد الاستقلال؟","تسلم محمد الخامس العرش المغربي بعد نهاية الاستعمار الفرنسي","1"
"من هو أول ملك للمغرب بعد الاستقلال؟","كان محمد الخامس أول ملك في المغرب بعد استعادة الاستقلال من فرنسا","1"
"من هو أول ملك للمغرب بعد الاستقلال؟","بعد استقلال المغرب عن الاستعمار الفرنسي في عام 1956، تولى الملك محمد الخامس مقاليد الحكم كأول ملك للمغرب المستقل. كان قد تولى سابقًا لقب السلطان","3"
"من هو أول ملك للمغرب بعد الاستقلال؟","بعد الاستقلال، تولى الملك محمد الخامس العرش كأول ملك للمغرب بعد الاستعمار. كان قد شغل منصب السلطان قبل ذلك","3"
"من هو أول ملك للمغرب بعد الاستقلال؟","بعد حقبة الاستعمار الفرنسي، استلم الملك محمد الخامس العرش في المغرب بصفته أول ملك بعد الاستقلال","3"
"من هو أول ملك للمغرب بعد الاستقلال؟","بعد الفوز بالاستقلال عن فرنسا، تسلم الملك محمد الخامس الحكم في المغرب كأول ملك بعد الاستقلال","3"
"من هو أول ملك للمغرب بعد الاستقلال؟","تولى الملك محمد الخامس مقاليد الحكم في المغرب بعد تحقيق الاستقلال من الاستعمار الفرنسي","3"
"من هو أول ملك للمغرب بعد الاستقلال؟","بعد تحريره من الاستعمار، تم تعيين الملك محمد الخامس كأول ملك للمغرب","2"
"من هو أول ملك للمغرب بعد الاستقلال؟","حصل الملك محمد الخامس على العرش بعد استعادة المغرب لاستقلاله من فرنسا","2"
"من هو أول ملك للمغرب بعد الاستقلال؟","في أعقاب حقبة الاستقلال، أصبح محمد الخامس أول ملك للمغرب بعد الحكم الاستعماري","2"
"من هو أول ملك للمغرب بعد الاستقلال؟","تولى الملك محمد الخامس العرش المغربي بعد انتهاء فترة الاستعمار ","1"
