"سؤال ","جواب","تنقيط"
"متى استعاد المغرب استقلاله من الاستعمار الفرنسي؟","قبل الاستقلال كان المغرب مقسمًا إلى مناطق تأثير مختلفة منطقة الحماية الفرنسية ومنطقة الحماية الإسبانية وبعد مفاوضات وجهود دبلوماسية تم التوصل إلى اتفاق بين المغرب وفرنسا يؤدي إلى استعادة الاستقلال في 2 مارس 1956","3"
"متى استعاد المغرب استقلاله من الاستعمار الفرنسي؟","يعد يوم استعادة الاستقلال في 2 مارس 1956 حدثًا مهمًا في تاريخ المغرب حيث تحررت البلاد من الاستعمار الفرنسي واستعادت سيادتها الوطنية","3"
"متى استعاد المغرب استقلاله من الاستعمار الفرنسي؟","تمثل استعادة الاستقلال في 2 مارس 1956 منعطفًا هامًا في مسيرة المغرب حيث تحققت تطلعات الشعب المغربي للعيش بحرية وكرامة وتقرير مصيرهم الخاص بعيدًا عن الاستعمار","3"
"متى استعاد المغرب استقلاله من الاستعمار الفرنسي؟","في 2 مارس 1956 وبعد سنوات من النضال والمقاومة حقق المغرب استقلاله من الاستعمار الفرنسي تم ذلك من خلال التوصل إلى اتفاقية الاستقلال بين المغرب وفرنسا التي وقعت في مدينة فونتينيبلو في فرنسا","3"
"متى استعاد المغرب استقلاله من الاستعمار الفرنسي؟","في 2 مارس 1956 استعاد المغرب استقلاله من الاستعمار الفرنسي تعد هذه التاريخ نقطة تحول هامة في تاريخ المغرب بعد فترة طويلة من الاستعمار الفرنسي","3"
"متى استعاد المغرب استقلاله من الاستعمار الفرنسي؟","تمت المفاوضات بين المغرب وفرنسا للوصول إلى اتفاقية الاستقلال والتي تم التوقيع عليها في 2 مارس 1956 في مدينة فونتينيبلو بفرنسا","3"
"متى استعاد المغرب استقلاله من الاستعمار الفرنسي؟","توصلت المفاوضات لاستقلال المغرب إلى اعتراف فرنسا بسيادة المغرب في 2 مارس 1956 تم توقيع اتفاقية الاستقلال في باريس وهي الاتفاقية التي أنهت الاستعمار الفرنسي ومنحت المغرب استقلاله وحريته","3"
"متى استعاد المغرب استقلاله من الاستعمار الفرنسي؟","في 2 مارس 1956 استعاد المغرب استقلاله من الاستعمار الفرنسي تعد هذه التاريخ نقطة تحول تاريخية في تاريخ البلاد حيث انتهت فترة الاستعمار وبدأت فترة السيادة والتنمية","3"
"متى استعاد المغرب استقلاله من الاستعمار الفرنسي؟","في يوم 2 مارس 1956 أصبح المغرب دولة مستقلة بعد أن استعاد استقلاله من الاستعمار الفرنسي تم ذلك بعد جهود حثيثة للنضال من أجل الحرية والسيادة والاستقلال","3"
"متى استعاد المغرب استقلاله من الاستعمار الفرنسي؟","بعد عقود من الاستعمار الفرنسي حيث سعى الشعب المغربي بقيادة السلطان محمد الخامس إلى تحقيق الاستقلال تم التوصل إلى اتفاق باريس في 2 مارس 1956 حيث تم الاعتراف بالسيادة المغربية واستقلاله","3"
"متى استعاد المغرب استقلاله من الاستعمار الفرنسي؟","استعادة استقلال المغرب في 2 مارس 1956 جاءت بعد سلسلة من المفاوضات بين الجانبين حيث تم التوصل إلى اتفاقية الاستقلال التي وضعت حداً للحكم الاستعماري الفرنسي ومنحت المغرب حريته وسيادته","3"
"متى استعاد المغرب استقلاله من الاستعمار الفرنسي؟","يعد يوم استعادة استقلال المغرب في 2 مارس 1956 نقطة تحول في تاريخ البلاد حيث بدأت مرحلة جديدة من البناء الوطني وتحقيق التنمية وتعزيز الهوية الوطنية المغربية","3"
"متى استعاد المغرب استقلاله من الاستعمار الفرنسي؟","المغرب استعاد استقلاله من الاستعمار الفرنسي في 2 مارس 1956 بعد فترة تاريخية من الاستعمار الذي دام لأكثر من 40 عامًا نجح المغرب في الحصول على استقلاله واستعادة سيادته","3"
"متى استعاد المغرب استقلاله من الاستعمار الفرنسي؟","في عام 1912 أقامت فرنسا وإسبانيا نظام الحماية على المغرب ولكن في 2 مارس 1956 انتهت هذه الحماية واستعاد المغرب سيادته واستقلاله من الحكم الاستعماري الفرنسي","3"
"متى استعاد المغرب استقلاله من الاستعمار الفرنسي؟","قامت الحكومة الفرنسية بتوقيع اتفاقية الاستقلال مع المغرب في 2 مارس 1956 وبموجب هذه الاتفاقية اعترفت فرنسا بسيادة المغرب واستقلاله وانتهت رسميًا فترة الاستعمار","3"
"متى استعاد المغرب استقلاله من الاستعمار الفرنسي؟","يعتبر استعادة المغرب استقلاله في 2 مارس 1956 حدثًا تاريخيًا مهمًا حيث تمكن الشعب المغربي من تحقيق حلم الحرية والاستقلال بعد قرون من الاستعمار والسيطرة الأجنبية","3"
"متى استعاد المغرب استقلاله من الاستعمار الفرنسي؟","المغرب استعاد استقلاله من الاستعمار الفرنسي في 2 مارس 1956","2"
"متى استعاد المغرب استقلاله من الاستعمار الفرنسي؟","تم استعادة استقلال المغرب من الاستعمار الفرنسي في 2 مارس 1956","2"
"متى استعاد المغرب استقلاله من الاستعمار الفرنسي؟","في 2 مارس 1956 استعاد المغرب استقلاله من الحكم الاستعماري الفرنسي","2"
"متى استعاد المغرب استقلاله من الاستعمار الفرنسي؟","تاريخ استعادة استقلال المغرب من الاستعمار الفرنسي هو 2 مارس 1956","2"
"متى استعاد المغرب استقلاله من الاستعمار الفرنسي؟","بدأت فترة استقلال المغرب من الاستعمار الفرنسي في 2 مارس 1956","2"
